Sample	Category
GSM773124	Tumor
GSM773125	Tumor
GSM773126	Tumor
GSM773127	Tumor
GSM773128	Tumor
GSM773129	Tumor
GSM773130	Tumor
GSM773131	Tumor
GSM773132	Tumor
GSM773133	Tumor
GSM773134	Tumor
GSM773135	Tumor
GSM773136	Tumor
GSM773137	Tumor
GSM773138	Tumor
GSM773139	Tumor
GSM773140	Tumor
GSM773141	Tumor
GSM773142	Tumor
GSM773143	Tumor
GSM773144	Tumor
GSM773145	Tumor
GSM773146	Tumor
GSM773147	Tumor
GSM773148	Tumor
GSM773149	Tumor
GSM773150	Tumor
GSM773151	Tumor
GSM773152	Tumor
GSM773153	Tumor
GSM773154	Tumor
GSM773155	Tumor
GSM773156	Tumor
GSM773157	Tumor
GSM773158	Tumor
GSM773159	Tumor
GSM773160	Tumor
GSM773161	Tumor
GSM773162	Tumor
GSM773163	Tumor
GSM773164	Tumor
GSM773165	Tumor
GSM773166	Tumor
GSM773167	Tumor
GSM773168	Tumor
GSM773169	Tumor
GSM773170	Tumor
GSM773171	Tumor
GSM773172	Tumor
GSM773173	Tumor
GSM773174	Tumor
GSM773175	Tumor
GSM773176	Healthy
GSM773177	Healthy
GSM773178	Healthy
GSM773179	Healthy
GSM773180	Healthy
GSM773181	Healthy
GSM773182	Healthy
GSM773183	Healthy
GSM773184	Healthy
GSM773185	Healthy
GSM773186	Healthy
GSM773187	Healthy
GSM773188	Healthy
GSM773189	Healthy
GSM773190	Healthy
GSM773191	Healthy
GSM773192	Healthy
GSM773193	Healthy
GSM773194	Healthy
GSM773195	Healthy
GSM773196	Healthy
GSM773197	Healthy
GSM773198	Healthy
GSM773199	Healthy
GSM773200	Healthy
GSM773201	Healthy
GSM773202	Healthy
GSM773203	Healthy
GSM773204	Healthy
GSM773205	Healthy
GSM773206	Healthy
GSM773207	Healthy
GSM773208	Healthy
GSM773209	Healthy
GSM773210	Healthy
GSM773211	Healthy
GSM773212	Healthy
GSM773213	Healthy
GSM773214	Healthy
GSM773215	Healthy
