SampleID,Gene_0,Gene_1,Gene_2,Gene_3,Gene_4
Sample_0,0.969584628,0.775132823,0.939498942,0.89482735,1.597899979
Sample_1,0.38867729,0.271349032,0.828737509,0.356753327,0.28093451
Sample_2,1.772244769,1.198715682,0.005522117,0.815461428,0.706857344
Sample_3,0.863103426,0.623298127,0.330898025,0.06355835,1.310982322
Sample_4,0.119594246,0.713244787,0.760785049,0.561277198,1.77096718
Sample_5,0.031429186,0.636410411,0.314355981,0.508570691,0.907566474
Sample_6,1.289751453,1.161221287,0.929697652,0.80812038,0.633403757
Sample_7,1.807440155,1.8960913,0.318003475,0.110051925,0.227935163
Sample_8,0.417411003,0.22210781,0.119865367,0.337615171,1.942909704
Sample_9,0.962447295,0.251782296,1.497248506,1.30087831,0.284840494
Sample_10,0.908265886,0.239561891,0.144894872,0.48945276,1.985650454
Sample_11,0.367783133,0.632305831,0.633529711,0.535774684,1.09028977
Sample_12,0.677564362,0.016587829,0.512093058,0.226495775,1.64517279
Sample_13,0.341066351,0.113473521,0.924693618,0.877339353,1.257941628
Sample_14,0.093102768,0.897215758,0.900418057,0.633101457,0.339029791
Sample_15,1.642031646,1.084139965,0.161628714,0.898554189,0.60642906
Sample_16,0.548733789,0.691895198,0.65196126,0.224269309,0.712179221
Sample_17,0.657612892,0.568308603,0.093674768,0.367715803,0.265202368
Sample_18,0.794811304,0.502637093,0.576903885,0.492517694,0.195242988
Sample_19,0.940458584,0.953928577,0.91486439,0.3701587,1.015456617
Sample_20,0.294448892,0.385097729,1.851136672,1.316922005,0.169492747
Sample_21,1.615007227,1.99005385,0.140084015,0.518329652,0.877373072
Sample_22,0.809361155,0.810113395,1.867072319,1.913240553,0.511342399
Sample_23,0.890005342,0.337995157,0.375582953,0.09398194,0.578280141
Sample_24,0.03050025,0.037348189,0.822600561,0.360190641,0.127060513
Sample_25,0.051681721,0.531354632,1.540635122,1.637429901,0.726091334
