SampleID,Subtype,14-3-3_epsilon,4E-BP1,4E-BP1_pS65,4E-BP1_pT37,4E-BP1_pT70,53BP1,A-Raf_pS299,ACC1,ACC_pS79,AMPK_alpha,AMPK_pT172,ANLN,AR,ARID1A,ASNS,ATM,Akt,Akt_pS473,Akt_pT308,Annexin_I,B-Raf,Bak,Bax,Bcl-2,Bcl-xL,Beclin,Bid,Bim,C-Raf,C-Raf_pS338,CD31,CD49b,CDK1,Caspase-7_cleavedD198,Caveolin-1,Chk1,Chk1_pS345,Chk2,Chk2_pT68,Claudin-7,Collagen_VI,Cyclin_B1,Cyclin_D1,Cyclin_E1,DJ-1,Dvl3,E-Cadherin,EGFR,EGFR_pY1068,EGFR_pY1173,ER-alpha,ER-alpha_pS118,ERK2,FOXO3a,Fibronectin,GAB2,GATA3,GSK3-alpha-beta,GSK3-alpha-beta_pS21_S9,HER2,HER2_pY1248,HER3,HER3_pY1289,HSP70,IGFBP2,INPP4B,IRS1,JNK2,JNK_pT183_pT185,K-Ras,Ku80,LBK1,Lck,MAPK_pT202_Y204,MEK1,MEK1_pS217_S221,MIG-6,Mre11,N-Cadherin,NF-kB-p65_pS536,NF2,Notch1,P-Cadherin,PAI-1,PCNA,PDCD4,PDK1_pS241,PI3K-p110-alpha,PKC-alpha,PKC-alpha_pS657,PKC-delta_pS664,PR,PRAS40_pT246,PRDX1,PTEN,Paxillin,Pea-15,RBM3,Rad50,Rb_pS807_S811,S6,S6_pS235_S236,S6_pS240_S244,SCD1,STAT3_pY705,STAT5-alpha,Shc_pY317,Smad1,Smad3,Smad4,Src,Src_pY416,Src_pY527,Stathmin,Syk,Transglutaminase,Tuberin,VEGFR2,XBP1,XRCC1,YAP_pS127,YB-1,YB-1_pS102,alpha-Catenin,beta-Catenin,c-Kit,c-Met_pY1235,c-Myc,eEF2,eEF2K,eIF4E,mTOR,mTOR_pS2448,p27,p27_pT157,p27_pT198,p38_MAPK,p38_pT180_Y182,p53,p70S6K,p70S6K_pT389,p90RSK_pT359_S363
A0SH,LumA,0.263785232,0.296817361,0.275802195,0.282258201,0.337830275,0.260955386,0.342982692,0.553350652,0.581153032,0.361065814,0.324974072,0.279709964,0.326831707,0.222244538,0.286583603,0.303236786,0.353984192,0.396500588,0.392105421,0.356536986,0.260036209,0.301027108,0.275762739,0.365102028,0.243654074,0.265935235,0.272440277,0.197878894,0.29457834,0.293173517,0.250177647,0.318178816,0.329972623,0.21386705,0.318030326,0.303213111,0.276475273,0.293142293,0.29581953,0.22134095,0.123859427,0,0.230965761,0.274763546,0.313424621,0.394515265,0.295678044,0.325970313,0.381393231,0.277899087,0.006714107,0.216302287,0.325337121,0.318222139,0.283689012,0.244936402,0.225628347,0.303981801,0.444188022,0.390665376,0.378165589,0.264727089,0.348092621,0.231671299,0.340754222,0.444169116,0.338130637,0.331684308,0.50217129,0.292434068,0.323404343,0.310380685,0.31525124,0.494168827,0.354371177,0.333851434,0.281471219,0.28085141,0.3106038,0.360960127,0.314465283,0.28276117,0.288835973,0.214074564,0.274329173,0.307667537,0.2722628,0.3270879,0.314347588,0.418754876,0.312243174,1,0.311577295,0.264591367,0.409603481,0.364005514,0.345086438,0.341477452,0.277674584,0.36366166,0.203828802,0.26235751,0.256709175,0.247220593,0.311628844,0.554918458,0.364380364,0.331689035,0.284665703,0.274712901,0.279384894,0.312303535,0.420169739,0.297087092,0.264840331,0.249984795,0.293645042,0.164220379,0.278855883,0.292031724,0.421342019,0.281248072,0.315375088,0.301797584,0.366631182,0.422531811,0.279536705,0.253523435,0.309171661,0.306542764,0.366843478,0.212815128,0.340198332,0.274034296,0.279609287,0.252164834,0.333303939,0.482932723,0.27910762,0.346555274,0.264204464,0.341888799
A0SJ,LumA,0.429879436,0.453905347,0.359888228,0.199328271,0.361450027,0.331946406,0.332724412,0.430523907,0.389938168,0.398260839,0.330569912,0.349456161,0.365854623,0.413034364,0.411972739,0.436233582,0.43808558,0.302182605,0.426303787,0.42648365,0.40118146,0.421023848,0.439082051,0.70754046,0.410936977,0.33848978,0.369025586,0.523876584,0.420164033,0.374900713,0.223391046,0.527627136,0.402672481,0.330069813,0.782606966,0.349020076,0.384228644,0.298987476,0.231670663,0.416826291,0.629720062,0.559070199,0.466329697,0.500090438,0.455235068,0.380482515,0.399197685,0.463418477,0.444118161,0.404435667,0.45300498,0.480528489,0.627061196,0.468498561,0.483080916,0.928190909,0.488193389,0.411296679,0.521668857,0.478387421,0.464645111,0.367072986,0.371548098,0.45736949,0.298048874,0.496095738,0.445847429,0.468367023,0.368094275,0.41436543,0.332819757,0.349543901,0.493106859,0.202206946,0.487235023,0.378410641,0.494765252,0.274477868,0.399053816,0.441200252,0.38677596,0.444459389,0.510584705,0.637900579,0.482827783,0.022665839,0.434417068,0.411467831,0.331657214,0.386277998,0.393451236,1,0.343625379,0.534783121,0.347360056,0.345921258,0.456665776,0.564241304,0.392803096,0.335544247,0.352013843,0.310133607,0.258925685,0,0.250391593,0.314788451,0.325133067,0.39412986,0.494139234,0.411149816,0.516686899,0.320891344,0.312558851,0.362542773,0.372585278,0.420730769,0.367582864,0.621955587,0.308978431,0.356354407,0.690396281,0.323339294,0.310458648,0.364649292,0.333753724,0.415490403,0.336692778,0.280880589,0.372982968,0.399382934,0.445005715,0.367170428,0.335676282,0.439053327,0.271649183,0.450780308,0.345918013,0.467151615,0.28576617,0.485472432,0.343689862,0.34461182
A0SK,Basal,0.540479218,0.832795945,0.576317296,0.686167317,0.623746143,0.511219193,0.501112777,0.393738249,0.403182489,0.496424823,0.519001805,0.539531341,0.342468272,0.595488769,0.669107638,0.504984391,0.48092287,0.431070927,0.494981628,0.818927404,0.48920204,0.531793032,0.505196295,0.855218775,0.509732625,0.504709393,0.530886076,0.631524785,0.509511051,0.517672819,0.511987183,0.48398876,0.541259139,0.456056401,0.227218136,0.57216815,0.528271932,0.627712653,0.585718491,0.731689449,0.3878615,0.678303962,0.488881037,0.765903844,0.526293945,0.546152422,0.371168958,0.526961141,0.475072836,0.532182366,0,0.456289167,0.484167427,0.532026569,0.540497051,0.749233733,0.224181056,0.55754057,0.446352294,0.357555346,0.44147057,0.482617089,0.524564192,0.632796852,0.526591937,0.411544338,0.492000007,0.43936246,0.475620419,0.535777374,0.581449462,0.485884958,0.463297158,0.419914336,0.617343747,0.472531975,0.565715383,0.518655283,0.564686853,0.534118476,0.462396108,0.596545509,0.452080307,0.753348005,0.624244617,0.546882468,0.386133384,0.52466068,0.514659597,0.493314455,0.498136324,0.407721971,0.506173164,0.469191631,0.490722242,0.534932576,0.438812607,0.531816378,0.485490949,0.478492872,0.540562273,0.515881874,0.384532347,0.503948229,0.461048921,0.410833316,0.482081012,0.623359062,0.62606486,0.549064422,0.579897688,0.547029818,0.566461215,0.596425628,0.550028319,0.505596548,0.467705164,0.358106452,0.490876381,0.577396334,0.320701372,0.476750727,0.470866527,0.469851126,0.460039244,1,0.551243726,0.52384398,0.514455208,0.409484068,0.530478283,0.47640125,0.43656441,0.701002934,0.588328875,0.548582259,0.417094749,0.421040582,0.693285373,0.442623287,0.486909963,0.482136276
A0SO,Basal,0.757851945,0.833496654,0.813971204,0.909740887,0.86822631,0.797747311,0.771251721,0.871783452,0.909846934,0.820140048,0.658118592,0.79325628,0.493465307,0.86044947,0.962863322,0.909782836,0.874247442,0.757698284,0.873978219,0.868392522,0.76419187,0.791783049,0.804811258,0.641930635,0.761779275,0.721965067,0.757178459,0.671500664,0.902790757,0.726233278,0.680930584,0.847573444,0.722646955,0.706209184,0.547191148,0.780233414,0.756027416,0.863874618,0.744663564,0.622483232,0.697873568,0.865479856,0.653145298,0.900494356,0.668256545,0.771014547,0.728965085,0.844675151,0.722658015,0.758955311,0,0.683309887,0.831729181,0.831974739,0.776167705,0.768634797,0.385981407,0.868784278,0.885683509,0.799247375,0.772367213,0.814666674,0.737063751,0.667905118,0.951273657,0.636058494,0.723317216,0.798723719,0.809226766,0.738378851,0.904170075,0.763488609,0.871238818,0.42555453,0.792035585,0.771585957,0.783272016,0.734365085,0.787848274,0.835550048,0.765959785,0.763131008,0.995455517,0.903565502,0.854334769,0.786734194,0.779079174,0.769775292,0.767365791,0.725100484,0.787855987,0.556769539,0.770319034,0.812142236,0.766307699,0.772545818,0.764037567,0.808737352,0.75405741,0.882730682,0.869755448,0.839152877,0.836319676,0.482252947,0.704303104,0.883298023,0.697584058,0.742536163,0.783220327,0.770743563,0.824113965,0.769940684,0.795539707,0.800535204,1,0.799674418,0.811752314,0.776207629,0.762791338,0.860433512,0.763912435,0.798007856,0.787986565,0.720688266,0.815927443,0.906669848,0.760080276,0.794921905,0.794635043,0.843703713,0.750676099,0.852370689,0.706313269,0.774567471,0.780140859,0.778672683,0.7323086,0.763167687,0.906633124,0.837043013,0.732121738,0.787356062
A04N,LumA,0.318188713,0.455218001,0.277758224,0.44381266,0.353433892,0.17485867,0.379054395,0.106362379,0.087264064,0.319594964,0.230524994,0.323010015,0.253840415,0.265501853,0.249277162,0.198270306,0.34037156,0.432104444,0.35392253,0.552958708,0.330531567,0.353603722,0.347005926,0.402623529,0.284100507,0.296795014,0.304210083,0.245968142,0.271998853,0.347100198,0.316559293,0.319482202,0.244678421,0.248454832,0.383337389,0.323776406,0.310623334,0.239373182,0.311797007,0.271098193,0.472326307,0,0.299672453,0.299119175,0.379302204,0.331136571,0.234781305,0.358726865,0.331778873,0.318070439,0.174484953,0.229610851,0.342617028,0.325291041,0.573072048,0.278422792,0.315185432,0.367082113,0.335255657,0.231431095,0.295204433,0.317797931,0.339942719,0.238566081,0.182496496,0.344684132,0.276116851,0.31561713,0.480925508,0.304618167,0.249795034,0.30493643,0.386534529,0.777574374,0.412052906,0.428620119,0.34604749,0.306312643,0.327114519,0.416086943,0.312214171,0.330807888,0.33769849,0.554062692,0.298426794,0.426160129,0.32701558,0.26385419,0.277466149,0.428990747,0.295377576,1,0.31061157,0.347796495,0.316827472,0.246857362,0.353372176,0.355944795,0.317759124,0.313425688,0.220426969,0.477850797,0.359828396,0.255140395,0.310570274,0.275335679,0.323361019,0.307823323,0.2840203,0.315784363,0.311776255,0.325297414,0.429126521,0.321652365,0.285380613,0.305705396,0.235535032,0.472372941,0.2977876,0.323760436,0.476899137,0.23872301,0.472631645,0.304533993,0.324880409,0.474795412,0.318943114,0.26120289,0.293227651,0.248723937,0.35708201,0.258732662,0.365766939,0.30709263,0.303711471,0.27026562,0.324525525,0.457849526,0.324379733,0.270388835,0.38827648,0.340004505
A04P,Basal,0.330074062,0.283834342,0.367734785,0.460642663,0.343073156,0.31804678,0.374463986,0.280677356,0.330058726,0.296326714,0.483389446,0.332667265,0.013977201,0.282293592,0.411907175,0.358346903,0.555488407,0.588752578,0.479471628,0.415392382,0.309889322,0.314161619,0.287779081,0.133282595,0.253862967,0.328383683,0.259008754,0.217823708,0.278465226,0.259964615,0.321883146,0.40391743,0.258774787,0.322730118,0.063942759,0.295503904,0.279583434,0.463480316,0.346106884,0.655833129,0.076499342,0.366877642,0.083844508,0.573988776,0.211655768,0.348413745,0.358522971,0.500228203,0.423870248,0.242208943,0.026109529,0.270825266,0.3618242,0.292495019,0.353205849,0.291046042,0.064544672,0.527504711,0.391906296,0.267376589,0.263486023,0.333575876,0.309712552,0,0.152732561,0.165212984,0.247250335,0.331334887,0.23462622,0.28157773,0.416768216,0.333865373,0.377808,0.003191173,0.33618361,0.297095482,0.270593949,0.264904505,0.271382595,0.422312814,0.486653269,0.362276308,0.362188644,0.413737508,0.303424592,0.543544251,0.212907974,1,0.307638209,0.28885532,0.287332641,0.330953852,0.39309341,0.348148542,0.57033788,0.25329676,0.225716596,0.446434051,0.228499263,0.173169177,0.487514043,0.401471118,0.410690197,0.33395812,0.33818519,0.349935163,0.357103287,0.404886195,0.239566634,0.28326322,0.205342758,0.271685898,0.238840498,0.262422947,0.745029015,0.460209506,0.363276219,0.163815019,0.319098882,0.295664309,0.42511258,0.307079334,0.345822198,0.267489467,0.426153081,0.594308365,0.31133434,0.418324257,0.284968158,0.157784884,0.309192733,0.466123476,0.392395394,0.259513447,0.301509817,0.354385608,0.252476657,0.180990216,0.278493536,0.308812135,0.300177639,0.31502398
A04Q,Basal,0.440967786,0.248564074,0.349289785,0.265091587,0.42048198,0.217017844,0.318544236,0.005715432,0.172050152,0.336434794,0.323785203,0.42934107,0.277189412,0.358637048,0.372040245,0.429242159,0.224968618,0.359694979,0.350204201,0.549288378,0.21534353,0.458244014,0.299329652,0.451974868,0.391251703,0.397366369,0.474263466,0.354879832,0.326643824,0.431426593,0.463429807,0.457116598,0.372831557,0.495465129,0.694991666,0.466494248,0.464166543,0.274232797,0.4827698,0.323465596,1,0.006225817,0.570939534,0.366085425,0.349356536,0.311972792,0.332123001,0.522516967,0.452189167,0.495369353,0,0.28240019,0.329470555,0.494642995,0.183507286,0.33198458,0.027867611,0.159392291,0.195317328,0.227146314,0.559571279,0.315189566,0.49039177,0.923880895,0.242362767,0.251907081,0.482332696,0.329326303,0.369585992,0.441434508,0.346219748,0.375269519,0.595689331,0.189836147,0.389414562,0.332612132,0.39871828,0.511040744,0.50893835,0.243334957,0.343624792,0.52555005,0.41269866,0.211000315,0.372344254,0.260704012,0.237024588,0.346307497,0.362864484,0.476615889,0.388966828,0.724435998,0.418551236,0.326780713,0.342710547,0.353318038,0.302340331,0.172511068,0.407144056,0.192413426,0.296397441,0.24414329,0.251772254,0.363520244,0.404839695,0.430702619,0.473480365,0.382810144,0.37177984,0.433064734,0.411932959,0.373391391,0.504987697,0.516833415,0.319398928,0.290541873,0.283040089,0.079137775,0.403861009,0.383089012,0.436702896,0.146787947,0.340104367,0.377734307,0.358086349,0.838911327,0.474854377,0.41189554,0.353607645,0.343076498,0.342569168,0.232619075,0.286816741,0.419635692,0.426957911,0.390462847,0.316066329,0.300145283,0.526764574,0.220736786,0.439066932,0.365382248
A04T,Basal,0.605356773,0.782040377,0.615808261,0.631757903,0.64377657,0.669262448,0.640444481,0.500534111,0.589156038,0.5685475,0.678512585,0.695184366,0.361319356,0.621033029,0.907711663,0.731311384,0.641582687,0.709123438,0.654909751,0.706327389,0.686708483,0.631775386,0.611266203,0.502315053,0.581788435,0.640552234,0.561589598,0.589343853,0.758175048,0.617473239,0.610903925,0.597648945,0.643128356,0.8017269,0.618268841,0.616617982,0.649231343,0.759257955,0.639585514,0.547847522,0.639655608,0.911177988,0.487171414,0.839765065,0.604768506,0.645465504,0.707201758,0.639090779,0.654381965,0.57457022,0,0.542500605,0.796116406,0.608528834,0.605757266,0.740758004,0.286134017,0.729155597,0.7299208,0.56644834,0.593951787,0.624205683,0.616376918,0.571775846,0.494918681,0.500721766,0.552752229,0.663535225,0.590472576,0.588368869,0.753394644,0.637284969,0.725731766,0.554763144,0.626089995,0.703254584,0.59218049,0.570359347,0.571105549,0.765659984,0.615904602,0.68432087,0.632099837,0.594273355,0.630724788,0.715350706,0.589258063,0.629449187,0.679280864,0.715474826,0.612258368,0.492157278,0.625264264,0.65739215,0.582740867,0.605761638,0.609392182,0.634712841,0.596763394,0.529369286,0.690525984,0.616296004,0.60168016,0.65713713,0.570899343,0.765354584,0.621745982,0.555733495,0.569397295,0.623479898,0.646734514,0.611075277,0.694671306,0.631316749,1,0.710249589,0.652924045,0.59860913,0.640661027,0.585128315,0.602881364,0.611741147,0.649551131,0.581157407,0.814267823,0.871653371,0.61160937,0.631367878,0.623667118,0.584118199,0.715533688,0.646628126,0.630428948,0.635958194,0.630482766,0.641624577,0.621434957,0.681197463,0.818887064,0.638243449,0.624124016,0.629628963
A04U,Basal,0.64359208,0.771579853,0.645601979,0.679836956,0.710930948,0.831425834,0.667843398,0.565512454,0.596705504,0.650074787,0.733230971,0.740264175,0.391885737,0.672530341,0.864954848,0.574317884,0.620006647,0.587952289,0.57041517,0.63482243,0.593772278,0.685765802,0.616194909,0.651081862,0.657991648,0.676243979,0.662619684,0.558879801,0.602161888,0.627743041,0.651655987,0.589671655,0.761532566,0.596666846,0.518371416,0.659813894,0.653614827,0.781747165,0.70604878,0.522999202,0.649577898,1,0.576904304,0.937696955,0.633499975,0.712807283,0.516482452,0.675706804,0.696563706,0.650938845,0,0.59901244,0.819124492,0.626667136,0.735577775,0.76805499,0.257002684,0.683838785,0.557180364,0.527049935,0.614962236,0.744178377,0.637366582,0.534350889,0.647323884,0.644339775,0.636689128,0.574405548,0.560723441,0.648691082,0.751779793,0.730819356,0.586668084,0.608033461,0.684539093,0.646457526,0.738898088,0.646219119,0.63769039,0.612719707,0.702207105,0.731736938,0.711775108,0.794418259,0.724712116,0.67850857,0.529089009,0.641147755,0.645841603,0.616809392,0.654417789,0.500733081,0.653511787,0.614878479,0.810327662,0.729286979,0.601183952,0.656575432,0.596941623,0.507031485,0.751881108,0.701942138,0.55254521,0.802601687,0.651494597,0.784752607,0.572065051,0.630012281,0.646378218,0.653246654,0.685966616,0.620907527,0.58272151,0.700504196,0.661996335,0.614229043,0.70912572,0.765305434,0.741283926,0.700419763,0.682866662,0.740852703,0.626407582,0.606900248,0.633669141,0.621680118,0.701944032,0.754405581,0.723120873,0.533738494,0.702395862,0.713488942,0.591145254,0.683548571,0.677601367,0.721590531,0.607057798,0.549904136,0.680191068,0.60859915,0.621562145,0.614121441
A04V,LumA,0.21333595,0.252957765,0.216799575,0.061894727,0.219818144,0.443773511,0.292806243,0.187719396,0.146984993,0.351756752,0.497231852,0.292277399,0.432142882,0.35522444,0.189583243,0.259526345,0.435119368,0.112906892,0.121379459,0.492490528,0.51457856,0.290231303,0.222121995,0.653959136,0.216442573,0.276901778,0.203570624,0.497429049,0.317437897,0.239672495,0.199202264,0.17103411,0.127386567,0.061599625,0.539312233,0.23163431,0.246443474,0.176204559,0.215082007,0.22458747,0.148973309,0.156820807,0.345484304,0.275998497,0.251092796,0.351373205,0.359934989,0.27154808,0.167403647,0.204641423,0.767927825,0.240906948,0.49460847,0.366964313,0.305256372,0.565030674,1,0.422460125,0.200604726,0.340804214,0.258683968,0.294667761,0.201733615,0,0.579784379,0.480676001,0.304001693,0.275430808,0.290480725,0.199444695,0.297580878,0.2624644,0.181288556,0.461189807,0.215526396,0.347514579,0.240205129,0.228101188,0.182380234,0.372734072,0.270098282,0.220083429,0.228566812,0.21673733,0.253752229,0.33677022,0.373730912,0.327041715,0.294345665,0.333980034,0.274066914,0.256803239,0.167023659,0.314324828,0.301774623,0.265268286,0.261677162,0.334062766,0.256239296,0.126210823,0.358727769,0.415113397,0.191933798,0.221923634,0.187675494,0.40886226,0.13200232,0.311279615,0.341420767,0.252464113,0.239410185,0.174039293,0.124552101,0.226771058,0.348603383,0.344997157,0.376409583,0.603174984,0.254119481,0.278130441,0.326233965,0.3285399,0.294531788,0.274453983,0.447509556,0.188301714,0.224227502,0.23354895,0.282717901,0.321716005,0.268585914,0.501689873,0.274943554,0.388743899,0.287590379,0.249966044,0.316316128,0.282989733,0.267349594,0.310847226,0.189802091,0.225259264
